date,SPY,TLT,GLD,BTC-USD
2022-09-02,372.769714,95.590767,159.259995,19969.771484
2022-09-06,371.363220,93.223106,158.330002,18837.667969
2022-09-07,378.034760,94.697487,159.940002,19290.324219
2022-09-08,380.505646,93.726128,158.979996,19329.833984
2022-09-09,386.416962,93.934242,159.820007,21381.152344
2022-09-12,390.570038,93.162384,160.630005,22370.449219
2022-09-13,373.587097,93.379196,158.539993,20296.707031
2022-09-14,375.012573,93.700081,157.929993,20241.089844
2022-09-15,370.754974,93.639381,154.979996,19701.210938
2022-09-16,367.926514,92.858826,155.839996,19772.583984
2022-09-19,370.779724,93.075653,155.960007,19544.128906
2022-09-20,366.523743,92.147697,155.070007,18890.789062
2022-09-21,360.130157,93.691406,155.789993,18547.400391
2022-09-22,357.105194,91.297729,155.699997,19413.550781
2022-09-23,351.121887,91.670662,153.009995,19297.638672
2022-09-26,347.648407,89.918793,151.229996,19222.671875
2022-09-27,346.760864,87.551109,151.539993,19110.546875
2022-09-28,353.583893,90.482529,154.690002,19426.720703
2022-09-29,346.197998,90.014198,154.660004,19573.050781
2022-09-30,340.844452,88.852043,154.669998,19431.789062
2022-10-03,349.843201,90.263847,158.429993,19623.580078
2022-10-04,360.683655,90.011749,160.699997,20336.843750
2022-10-05,359.843872,89.151093,159.809998,20160.716797
2022-10-06,356.131744,88.655571,159.630005,19955.443359
2022-10-07,346.197998,87.794930,157.880005,19546.849609
2022-10-10,343.554565,86.430054,155.479996,19141.484375
2022-10-11,341.378784,86.812584,155.160004,19051.417969
2022-10-12,340.252838,87.238548,155.990005,19157.445312
2022-10-13,349.232422,86.403984,154.910004,19382.904297
2022-10-14,341.273926,85.691124,152.979996,19185.656250
2022-10-17,350.043610,85.273819,153.419998,19550.757812
2022-10-18,354.156433,85.473801,153.750000,19334.416016
2022-10-19,351.646729,83.917664,151.690002,19139.535156
2022-10-20,348.698059,82.483231,151.449997,19053.740234
2022-10-21,357.171967,80.996658,154.149994,19172.468750
2022-10-24,361.542511,80.327271,153.649994,19345.572266
2022-10-25,367.315796,82.665810,154.000000,20095.857422
2022-10-26,364.548462,83.856781,154.979996,20770.441406
2022-10-27,362.601715,84.734840,154.740005,20285.835938
2022-10-28,371.228302,84.152397,153.160004,20595.351562
2022-10-31,368.546814,83.552528,151.910004,20495.773438
2022-11-01,366.934052,84.333366,153.460007,20485.273438
2022-11-02,357.725464,83.967354,152.389999,20159.503906
2022-11-03,354.042023,83.514183,151.809998,20209.988281
2022-11-04,359.137695,82.111099,156.470001,21147.230469
2022-11-07,362.573090,81.291931,155.850006,20602.816406
2022-11-08,364.529327,82.180832,159.449997,18541.271484
2022-11-09,357.019257,82.450981,158.649994,15880.780273
2022-11-10,376.638947,85.623169,163.479996,17586.771484
2022-11-11,380.284302,85.309410,164.559998,17034.292969
2022-11-14,377.049255,85.100296,164.919998,16618.199219
2022-11-15,380.265137,86.477219,165.500000,16884.613281
2022-11-16,377.364197,88.368370,165.119995,16669.439453
2022-11-17,376.209564,87.435860,163.919998,16687.517578
2022-11-18,377.917694,86.834526,162.789993,16697.777344
2022-11-21,376.543549,87.200554,161.880005,15787.284180
2022-11-22,381.610657,88.438057,162.070007,16189.769531
2022-11-23,384.015411,89.980614,163.080002,16610.707031
2022-11-25,383.929565,89.675560,163.220001,16521.841797
2022-11-28,377.803162,89.928284,161.929993,16217.322266
2022-11-29,377.154297,88.873795,162.729996,16444.982422
